word,count
coffee,24822
tea,17824
dog,13582
bad,12819
first,12225
box,12213
tried,12197
time,11996
eat,11418
better,11128
try,10421
water,10338
bag,10191
could,9713
price,9642
way,9599
little,9570
love,9444
tastes,9442
chocolate,9382
sugar,9331
thought,9184
know,9116
two,9101
cup,9071
disappointed,8930
never,8821
money,8681
order,8603
something,8407
ordered,8219
think,8196
ingredients,8173
find,7686
products,7436
brand,7311
old,7278
cat,7122
sweet,7072
stuff,7072
give,7053
tasted,6859
away,6753
dogs,6750
since,6675
drink,6661
quality,6644
however,6573
received,6415
found,6377
