phrase,count
gluten free,719
dog food,556
peanut butter,549
highly recommend,542
green tea,502
grocery store,468
much better,444
cat food,442
cup coffee,414
really good,390
great price,369
tastes great,336
year old,335
taste good,333
taste great,329
dogs love,309
pretty good,298
great taste,298
first time,294
dark chocolate,284
would recommend,281
subscribe save,277
dog loves,265
hard find,265
tastes good,265
high quality,256
great tasting,244
even though,240
give try,238
green mountain,237
great flavor,236
long time,230
every day,223
sugar free,222
good price,219
coconut oil,214
years ago,212
make sure,210
free shipping,208
highly recommended,204
great coffee,201
coconut water,197
good coffee,195
love love,194
ice cream,193
thought would,190
little bit,187
potato chips,180
olive oil,180
would buy,180
